customer_id,signup_date,age,gender,country,segment,is_churned,lifetime_value,email_opt_in,has_app
C00052,2020-07-25,26,M,US,Premium,0,2154.65,1,0
C00053,2022-12-05,27,F,UK,Premium,0,2269.57,0,1
C00054,2023-01-26,27,M,CA,Premium,0,2115.41,1,1
C00055,2022-04-09,28,Non-binary,UK,Premium,0,2207.24,1,1
C00056,2022-11-13,34,M,AU,Regular,0,1250.39,1,0
C00057,2023-01-07,19,F,US,Regular,0,1165.55,0,1
C00058,2022-02-02,48,F,BR,Budget Shopper,0,649.21,0,1
C00059,2023-08-17,33,M,US,Budget Shopper,0,239.22,0,0
C00060,2023-01-29,64,F,FR,Premium,0,3292.95,1,1
C00061,2023-07-16,20,Non-binary,BR,Regular,0,921.33,0,0
C00062,2024-02-27,54,F,CA,Regular,0,1461.89,1,1
C00063,2020-05-21,51,Non-binary,IN,Premium,0,2149.48,1,1
C00064,2023-04-19,30,M,DE,Regular,1,1201.62,0,1
C00065,2024-06-29,30,Non-binary,US,Regular,0,803.88,1,1
C00066,2022-11-15,23,F,DE,Regular,1,765.56,1,1
C00067,2024-04-16,24,F,DE,Regular,0,1259.81,0,1
C00068,2022-03-21,34,F,US,Budget Shopper,0,166.99,0,1
C00069,2024-02-19,35,F,UK,Regular,0,765.83,0,1
C00070,2024-04-12,18,F,US,Budget Shopper,0,595.84,1,1
C00071,2023-03-06,62,F,US,Regular,1,986.05,0,1
C00072,2022-06-18,31,M,MX,VIP,0,3897.25,1,0
C00073,2022-10-30,35,F,JP,Budget Shopper,0,690.35,1,1
C00074,2022-02-09,27,M,DE,Budget Shopper,0,734.3,1,0
C00075,2022-11-16,31,F,US,Budget Shopper,0,500.05,0,0
C00076,2024-05-13,30,F,US,Budget Shopper,0,659.22,1,1
C00077,2020-01-20,34,M,US,Premium,0,3310.22,0,1
C00078,2021-09-19,34,M,US,Regular,1,1095.51,1,1
C00079,2021-09-29,44,M,AU,Premium,0,2092.67,1,0
C00080,2021-03-09,37,F,UK,Premium,0,2453.23,1,0
C00081,2023-03-07,43,M,UK,Regular,0,700.01,1,1
C00082,2021-04-05,34,M,US,Premium,1,2740.77,1,0
C00083,2023-04-21,37,M,BR,Budget Shopper,0,458.82,0,1
C00084,2021-05-16,32,M,US,Budget Shopper,1,507.06,1,1
C00085,2022-02-28,47,M,US,Budget Shopper,0,505.25,1,1
C00086,2022-06-03,38,M,US,Premium,0,1891.49,1,0
C00087,2022-08-25,33,F,US,Regular,0,1090.15,1,0
C00088,2023-06-30,32,F,CA,Budget Shopper,0,330.08,1,0
C00089,2023-03-23,33,Prefer not to say,DE,Regular,1,967.35,1,1
C00090,2022-02-24,35,M,CA,Budget Shopper,0,360.83,1,1
C00091,2021-06-30,34,M,US,Premium,1,1874.02,1,1
C00092,2024-05-15,28,M,JP,Regular,0,479.16,1,1
C00093,2024-05-12,44,F,FR,Regular,1,981.95,0,1
C00094,2021-02-15,44,M,BR,Regular,0,1233.52,1,0
C00095,2022-09-19,56,M,US,Regular,0,1148.89,1,1
C00096,2021-01-02,27,F,JP,Regular,0,1398.07,1,1
C00097,2023-03-21,42,M,FR,Budget Shopper,0,380.91,1,1
C00098,2022-02-11,18,F,UK,Budget Shopper,1,440.16,1,1
C00099,2024-07-04,44,F,US,Occasional Visitor,1,983.43,1,1
C00100,2022-11-02,18,F,US,VIP,0,4891.76,0,1
C00101,2021-06-10,23,M,IN,Premium,0,2511.0,1,0
C00102,2023-10-29,38,M,US,Budget Shopper,1,764.27,1,0
C00103,2024-09-29,27,F,DE,Occasional Visitor,0,749.16,1,0
C00104,2021-07-25,25,M,FR,Premium,0,2109.52,0,0
C00105,2020-08-08,29,M,AU,Premium,0,1804.22,1,1
C00106,2023-04-22,43,F,US,Regular,0,1020.47,0,0
C00107,2021-01-18,23,M,BR,Budget Shopper,0,627.72,0,0
C00108,2024-02-14,34,M,US,Budget Shopper,0,571.7,1,1
C00109,2021-05-10,30,F,IN,VIP,0,6790.72,0,1
C00110,2023-08-28,44,F,UK,Regular,0,1199.23,1,0
C00111,2023-07-29,45,M,US,Budget Shopper,0,219.9,1,1
C00112,2022-08-27,18,F,US,Regular,0,1273.0,1,0
C00113,2024-05-24,47,Prefer not to say,AU,Regular,0,1128.67,1,1
C00114,2023-10-14,27,M,CA,Budget Shopper,0,500.21,1,0
C00115,2020-04-29,37,F,US,VIP,0,6522.79,1,1
C00116,2021-09-09,23,M,US,Premium,0,2235.38,1,0
C00117,2023-04-29,39,Non-binary,DE,Premium,0,2747.8,0,1
C00118,2023-11-04,65,M,US,Regular,1,803.9,1,1
C00119,2022-08-03,36,M,US,Regular,0,682.48,1,1
C00120,2021-03-31,29,Prefer not to say,FR,Regular,0,935.33,1,0
C00121,2021-12-27,32,F,US,Regular,0,1013.74,0,1
C00122,2023-01-01,18,M,US,Budget Shopper,1,568.5,1,0
C00123,2023-03-31,52,F,UK,Regular,0,798.2,0,0
C00124,2024-03-25,38,F,CA,Budget Shopper,0,688.37,1,1
C00125,2021-04-29,22,F,CA,Regular,0,834.46,1,0
C00126,2022-05-21,22,M,US,Regular,0,1075.76,1,0
C00127,2021-12-14,35,M,UK,Budget Shopper,0,501.45,1,0
C00128,2024-05-10,46,Non-binary,US,Budget Shopper,0,537.41,1,0
C00129,2021-07-31,21,M,UK,Regular,0,1223.97,0,1
C00130,2021-10-09,48,M,US,Budget Shopper,0,782.76,1,0
C00131,2021-01-15,33,M,US,VIP,0,4246.71,1,1
C00132,2021-05-15,23,M,DE,Regular,0,1186.0,1,0
C00133,2023-04-02,29,F,US,Regular,0,1077.02,1,1
C00134,2022-11-01,55,M,JP,Regular,0,1370.3,1,0
C00135,2022-12-13,18,M,MX,Budget Shopper,0,556.11,1,1
C00136,2024-11-07,26,M,US,Occasional Visitor,1,843.95,1,1
C00137,2022-07-07,46,M,DE,Regular,0,689.2,1,0
C00138,2021-02-01,37,M,DE,Premium,1,2128.12,1,0
C00139,2022-04-25,25,M,US,Budget Shopper,0,377.93,1,0
C00140,2023-10-19,46,F,US,Regular,0,977.03,1,1
C00141,2022-11-06,47,M,MX,Regular,0,872.88,1,1
C00142,2020-08-03,38,M,US,VIP,0,4352.27,1,0
C00143,2023-05-31,27,F,CA,Regular,0,986.98,1,0
C00144,2023-08-10,29,F,CA,Regular,0,991.78,1,0
C00145,2021-11-15,38,F,US,Budget Shopper,0,463.22,0,0
C00146,2022-12-12,19,Prefer not to say,CA,Regular,0,844.79,1,0
C00147,2022-12-21,50,M,BR,Regular,0,1110.18,0,1
C00148,2021-08-12,55,M,US,Regular,0,851.98,1,1
C00149,2021-01-12,32,M,US,Budget Shopper,0,425.14,1,0
C00150,2022-07-05,39,M,US,Premium,0,2369.89,0,1
C00151,2022-02-24,49,Prefer not to say,FR,VIP,0,1773.02,1,0
C00152,2023-06-30,58,F,CA,Budget Shopper,0,811.44,1,1
C00153,2022-04-27,53,F,UK,Regular,0,1244.31,0,0
C00154,2022-10-20,18,Prefer not to say,AU,Budget Shopper,0,539.98,1,0
C00155,2023-06-06,31,F,MX,Premium,0,2086.9,0,0
C00156,2021-10-15,41,M,US,Budget Shopper,0,511.75,1,0
C00157,2022-04-12,29,F,AU,Premium,0,1674.07,1,1
C00158,2020-06-17,56,M,US,Premium,0,2694.14,1,0
C00159,2020-03-24,54,M,US,Premium,0,1389.73,1,0
C00160,2024-05-06,25,F,US,Budget Shopper,0,341.39,1,1
C00161,2020-06-14,33,Non-binary,US,VIP,0,4112.59,0,1
C00162,2023-04-17,26,F,BR,Budget Shopper,0,688.74,1,0
C00163,2022-10-19,32,M,UK,Budget Shopper,0,362.27,0,1
C00164,2023-10-30,32,F,CA,Regular,0,1191.76,1,1
C00165,2022-11-29,46,F,US,Regular,1,532.73,1,1
C00166,2022-06-08,24,F,US,Premium,0,2414.89,0,1
C00167,2023-02-14,18,M,JP,Premium,0,3441.11,0,1
C00168,2023-11-25,18,M,IN,Regular,0,1237.57,1,0
C00169,2024-07-22,22,M,UK,Occasional Visitor,0,385.38,0,1
C00170,2021-07-27,27,F,US,Budget Shopper,0,505.44,1,0
C00171,2021-08-05,37,Prefer not to say,US,Regular,0,972.4,1,0
C00172,2022-09-27,22,M,MX,Budget Shopper,1,653.3,1,0
C00173,2022-04-20,20,M,US,VIP,0,4874.79,1,0
C00174,2023-05-02,23,M,US,Budget Shopper,0,319.98,1,1
C00175,2023-10-01,21,F,DE,Budget Shopper,0,482.96,0,1
C00176,2021-05-12,28,F,JP,Regular,1,908.55,1,1
C00177,2023-09-09,27,F,US,Occasional Visitor,0,367.96,1,1
C00178,2020-07-10,43,M,AU,VIP,0,4782.19,0,0
C00179,2021-11-21,23,M,US,Premium,1,2402.67,1,1
C00180,2022-03-19,30,Non-binary,DE,VIP,0,5476.66,1,1
C00181,2020-05-27,28,F,US,VIP,0,6271.88,1,0
C00182,2024-01-14,44,M,IN,Regular,0,1022.79,1,1
C00183,2023-04-23,33,M,FR,Regular,0,687.15,0,1
C00184,2022-08-17,47,M,JP,Premium,0,1897.99,1,0
C00185,2020-02-16,21,M,UK,Premium,0,2388.83,1,0
C00186,2024-01-09,34,M,BR,Regular,0,1434.19,1,1
C00187,2024-05-23,28,F,CA,Budget Shopper,0,500.49,1,1
C00188,2023-05-08,20,M,UK,Premium,0,2320.68,1,0
C00189,2021-06-28,34,M,US,Budget Shopper,0,470.45,1,1
C00190,2021-05-16,55,F,AU,VIP,0,4989.76,1,0
C00191,2022-07-30,24,M,UK,Budget Shopper,1,738.81,1,1
C00192,2024-05-29,33,F,CA,Budget Shopper,0,489.45,0,1
C00193,2022-08-31,19,F,DE,Premium,0,2241.85,1,0
C00194,2023-09-11,18,M,AU,Budget Shopper,0,504.78,1,0
C00195,2022-06-23,25,F,CA,Budget Shopper,0,415.46,1,0
C00196,2024-04-10,29,M,CA,Regular,1,670.64,1,0
C00197,2023-03-19,30,M,CA,VIP,0,2825.0,1,0
C00198,2023-10-27,32,M,CA,Budget Shopper,0,409.15,0,1
C00199,2023-11-06,18,F,UK,Regular,0,1424.84,1,1
C00200,2022-04-11,27,M,AU,Premium,0,3100.25,1,0
C00201,2023-07-26,41,F,AU,Occasional Visitor,0,576.8,1,0
C00202,2021-12-30,18,M,UK,Regular,0,1056.51,1,1
C00203,2023-09-08,30,F,US,Budget Shopper,0,516.44,1,1
C00204,2022-02-22,38,M,US,Budget Shopper,0,409.38,1,1
C00205,2021-08-08,25,M,IN,Budget Shopper,0,663.59,1,0
C00206,2024-04-23,39,F,BR,Budget Shopper,0,595.25,1,0
C00207,2021-09-15,18,M,US,Premium,0,2616.52,1,1
C00208,2024-01-04,45,M,JP,Budget Shopper,0,508.56,1,1
C00209,2021-12-29,39,F,US,Regular,1,670.17,0,0
C00210,2021-04-03,35,F,BR,Premium,1,3214.18,1,1
C00211,2022-03-15,48,F,JP,Regular,0,1259.64,1,0
C00212,2022-07-13,31,M,UK,Budget Shopper,0,551.16,0,0
C00213,2021-01-14,27,M,JP,Premium,0,1957.23,1,1
C00214,2022-11-04,51,M,CA,Premium,0,2009.27,1,0
C00215,2021-02-20,57,M,US,Premium,0,2696.73,1,0
C00216,2022-07-18,26,M,AU,Budget Shopper,0,637.78,1,1
C00217,2024-01-04,33,M,US,Budget Shopper,0,715.61,1,0
C00218,2021-07-11,47,M,US,VIP,0,4080.79,1,0
C00219,2021-01-14,34,F,US,Regular,0,1056.31,1,0
C00220,2021-01-01,42,M,DE,Regular,0,524.06,0,1
C00221,2022-07-11,44,M,FR,Regular,0,423.19,1,1
C00222,2022-04-07,28,M,IN,Premium,0,2714.63,1,1
C00223,2024-11-27,40,M,BR,Occasional Visitor,0,629.34,1,1
C00224,2021-06-16,34,F,IN,Budget Shopper,0,253.35,1,1
C00225,2021-11-23,20,M,DE,VIP,0,3546.3,1,1
C00226,2022-01-04,23,M,BR,Budget Shopper,0,542.85,1,0
C00227,2022-07-29,27,F,US,Regular,0,1205.58,1,1
C00228,2022-07-19,46,M,FR,Regular,0,649.75,1,1
C00229,2022-02-03,46,M,US,Budget Shopper,0,654.55,1,0
C00230,2021-01-24,43,F,US,Budget Shopper,0,413.04,1,0
C00231,2021-04-05,40,F,US,Regular,0,1175.6,0,1
C00232,2024-03-29,39,Non-binary,US,Occasional Visitor,1,807.53,1,0
C00233,2021-10-14,38,F,JP,Regular,1,1096.82,0,1
C00234,2021-02-21,39,F,UK,VIP,0,3828.83,0,0
C00235,2020-04-25,40,M,BR,Premium,0,2385.41,1,0
C00236,2021-03-05,18,F,UK,Regular,0,1174.08,1,0
C00237,2021-04-26,25,M,DE,Premium,0,2280.41,1,1
C00238,2021-07-28,22,F,US,Budget Shopper,1,512.62,1,0
C00239,2021-10-23,48,Non-binary,JP,Budget Shopper,0,637.73,1,1
C00240,2021-01-20,54,M,US,Premium,1,2117.25,1,1
C00241,2021-01-06,18,F,DE,Premium,0,2792.01,0,0
C00242,2021-01-15,53,F,JP,Budget Shopper,0,473.7,1,0
C00243,2021-05-30,36,M,AU,Regular,0,1491.75,0,1
C00244,2024-04-27,47,F,IN,Regular,0,713.36,1,1
C00245,2022-05-02,41,F,US,VIP,0,6629.76,1,1
C00246,2021-06-07,52,M,UK,Regular,0,953.8,0,1
C00247,2021-12-29,37,F,US,Regular,0,1680.74,1,1
C00248,2022-05-04,18,M,US,Regular,0,1219.7,1,1
C00249,2024-03-01,33,M,US,Regular,0,1333.82,1,0
C00250,2023-01-27,41,F,AU,Premium,1,2303.45,0,0
C00251,2022-09-10,32,F,JP,VIP,0,5850.9,1,0
C00252,2021-05-16,42,F,FR,Regular,0,1287.09,1,0
C00253,2022-09-18,34,F,AU,Budget Shopper,0,482.2,0,0
C00254,2022-09-10,27,F,UK,Budget Shopper,1,595.54,1,1
C00255,2022-03-24,21,M,US,Premium,0,383.47,1,1
C00256,2022-12-13,30,F,FR,Premium,0,2013.52,1,1
C00257,2022-02-14,37,F,US,Budget Shopper,0,502.68,1,1
C00258,2022-12-12,18,M,UK,Budget Shopper,0,562.74,1,0
C00259,2021-12-03,25,M,BR,Regular,0,1367.3,0,1
C00260,2021-09-26,18,F,US,Budget Shopper,0,468.41,0,1
C00261,2021-02-03,27,Prefer not to say,US,Premium,0,2165.73,1,0
C00262,2023-07-28,49,Prefer not to say,US,Regular,0,1339.67,1,0
C00263,2022-07-13,20,F,FR,Budget Shopper,0,643.94,0,0
C00264,2022-05-19,43,F,US,VIP,0,5924.83,1,1
C00265,2023-06-01,69,F,DE,Budget Shopper,0,480.87,1,1
C00266,2022-04-08,52,F,US,Budget Shopper,1,818.57,0,0
C00267,2024-05-03,36,F,AU,Budget Shopper,0,509.92,1,1
C00268,2021-03-01,45,Non-binary,BR,Budget Shopper,0,527.05,0,0
C00269,2024-02-19,18,Prefer not to say,US,Budget Shopper,1,704.12,1,1
C00270,2021-01-11,18,M,AU,Budget Shopper,0,691.01,1,0
C00271,2022-05-03,35,Prefer not to say,US,Budget Shopper,0,588.44,1,0
C00272,2023-11-20,39,F,US,Budget Shopper,0,387.29,1,1
C00273,2023-05-24,48,M,UK,Regular,0,1130.98,0,0
C00274,2021-02-14,28,M,US,Premium,0,2710.46,1,1
C00275,2024-02-05,37,F,MX,Regular,0,1636.82,1,0
C00276,2021-06-25,36,M,AU,Regular,0,1911.18,1,0
C00277,2023-05-06,33,M,BR,Regular,0,935.27,1,1
C00278,2021-10-23,34,F,US,VIP,0,6065.83,1,1
C00279,2020-09-21,24,M,FR,VIP,0,3981.26,1,1
C00280,2024-03-20,38,M,CA,Budget Shopper,0,484.39,1,0
C00281,2023-09-04,37,F,US,Budget Shopper,0,391.56,0,1
C00282,2021-01-11,29,M,AU,Budget Shopper,0,708.65,1,0
C00283,2021-04-21,42,F,IN,Budget Shopper,1,529.73,0,1
C00284,2021-03-13,47,M,BR,Regular,0,1180.7,0,1
C00285,2022-06-15,43,F,JP,Regular,0,1113.55,0,1
C00286,2022-06-17,22,M,US,Budget Shopper,0,547.04,1,1
C00287,2023-07-13,36,F,BR,Regular,0,1212.88,1,1
C00288,2023-05-13,24,F,JP,Regular,0,911.57,1,1
C00289,2021-01-20,36,F,DE,Budget Shopper,0,289.02,1,1
C00290,2021-08-30,24,F,US,Premium,0,1603.55,0,0
C00291,2023-09-29,50,F,UK,Budget Shopper,0,298.66,1,0
C00292,2023-02-19,44,M,US,VIP,0,5243.64,0,1
C00293,2022-01-08,48,F,US,Budget Shopper,0,397.94,1,0
C00294,2020-02-26,47,F,BR,Premium,0,2988.06,1,1
C00295,2020-07-14,31,F,MX,VIP,0,5300.83,0,1
C00296,2023-12-14,29,M,BR,Occasional Visitor,0,432.92,0,0
C00297,2021-07-19,55,F,US,Premium,0,2153.71,1,0
C00298,2021-03-24,33,F,DE,Premium,0,1126.29,0,0
C00299,2021-04-26,18,F,UK,Regular,1,785.34,1,0
C00300,2021-03-10,47,F,UK,Premium,0,2105.84,1,1
C00301,2022-01-05,36,M,UK,Budget Shopper,0,381.83,1,0
C00302,2022-09-15,53,F,JP,Regular,1,1618.35,1,0
C00303,2021-04-12,37,M,AU,Regular,0,1305.92,0,0
C00304,2022-10-05,34,F,IN,VIP,0,4590.22,1,0
C00305,2022-06-17,53,F,US,Regular,1,1492.39,1,1
C00306,2022-02-10,18,M,UK,Regular,0,832.02,1,0
C00307,2024-03-02,27,M,CA,Regular,0,1008.65,0,0
C00308,2023-08-08,24,F,DE,Budget Shopper,0,606.74,1,1
C00309,2021-06-24,18,F,BR,Budget Shopper,0,360.55,1,1
C00310,2021-07-06,45,M,US,Regular,0,1288.38,1,0
C00311,2021-01-03,28,M,US,Regular,0,1180.52,0,1
C00312,2022-12-17,45,M,BR,Budget Shopper,1,573.51,0,0
C00313,2022-03-29,39,F,UK,Regular,0,1594.29,1,0
C00314,2022-04-24,42,M,CA,Regular,1,1225.27,1,0
C00315,2022-10-12,29,F,BR,Regular,0,1134.66,1,1
C00316,2022-11-20,25,F,FR,Regular,0,688.23,1,0
C00317,2020-01-02,36,F,FR,Premium,0,2526.17,0,1
C00318,2021-05-18,46,Prefer not to say,US,Budget Shopper,0,440.01,1,1
C00319,2022-10-03,34,F,DE,VIP,0,4846.09,1,0
C00320,2023-05-01,26,F,UK,VIP,0,4408.21,1,1
C00321,2023-12-05,20,F,CA,Regular,0,1235.17,1,1
C00322,2024-03-02,37,F,CA,Regular,0,827.58,1,1
C00323,2022-08-15,28,F,US,Regular,1,1158.31,1,1
C00324,2022-11-20,34,M,US,Premium,0,1775.06,1,0
C00325,2023-01-30,32,Prefer not to say,UK,Premium,0,1320.76,1,1
C00326,2023-02-13,29,M,UK,Premium,0,2194.96,1,0
C00327,2021-07-10,38,Prefer not to say,US,Regular,0,1227.57,1,0
C00328,2021-07-07,41,M,BR,Regular,0,886.33,1,0
C00329,2022-05-29,58,F,US,Budget Shopper,0,517.07,1,1
C00330,2021-10-04,44,Prefer not to say,UK,Premium,0,2182.21,1,0
C00331,2024-05-07,54,F,DE,Budget Shopper,0,370.57,1,1
C00332,2021-02-09,25,F,FR,Premium,0,2734.38,1,0
C00333,2022-11-27,18,M,US,VIP,0,4185.84,1,0
C00334,2024-02-07,34,M,US,Budget Shopper,0,546.83,0,1
C00335,2024-05-16,45,M,US,Regular,0,698.45,1,1
C00336,2021-08-30,43,F,US,Budget Shopper,1,517.1,1,0
C00337,2020-11-04,49,M,US,Premium,0,2774.32,0,1
C00338,2021-10-08,18,M,CA,Budget Shopper,0,543.97,0,1
C00339,2022-07-27,50,M,CA,VIP,0,6115.68,1,1
C00340,2023-05-27,39,Non-binary,US,Budget Shopper,0,580.69,1,0
C00341,2024-01-22,18,F,DE,Occasional Visitor,0,859.84,1,0
C00342,2020-04-23,43,M,US,Premium,0,2907.61,1,1
C00343,2022-10-27,37,Prefer not to say,BR,Regular,0,997.22,1,1
C00344,2022-07-23,39,F,CA,Premium,0,2712.77,1,0
C00345,2021-08-28,46,M,CA,Premium,1,2413.07,1,1
C00346,2020-12-08,40,M,US,VIP,0,7313.27,1,0
C00347,2023-01-26,18,F,UK,Budget Shopper,1,534.19,1,0
C00348,2023-04-24,33,M,UK,Regular,1,746.5,1,1
C00349,2023-01-25,18,M,JP,Budget Shopper,0,531.63,1,0
C00350,2024-01-19,42,Prefer not to say,US,Regular,0,838.42,1,1
C00351,2022-02-05,51,F,UK,Budget Shopper,0,591.06,0,0
C00352,2023-02-17,20,F,AU,Regular,0,1305.29,1,0
C00353,2023-12-28,26,F,CA,Regular,1,932.51,0,0
C00354,2021-09-29,24,F,CA,Regular,0,814.6,1,0
C00355,2021-12-26,29,M,BR,Regular,0,1136.51,0,1
C00356,2020-03-03,39,F,US,Premium,0,1857.62,1,1
C00357,2021-04-23,29,M,US,Premium,0,1896.93,1,1
C00358,2021-02-26,42,M,BR,Regular,1,960.83,1,1
C00359,2023-08-11,47,Prefer not to say,US,Regular,0,1271.69,1,0
C00360,2020-04-23,48,M,AU,VIP,0,3145.08,0,1
C00361,2023-06-03,21,M,US,Budget Shopper,0,405.69,1,1
C00362,2023-01-10,51,M,US,Budget Shopper,0,799.84,0,0
C00363,2024-06-14,52,F,US,Budget Shopper,0,744.23,0,1
C00364,2021-03-20,53,Prefer not to say,IN,Premium,0,3125.88,0,1
C00365,2022-03-16,33,M,US,Regular,0,1112.04,1,0
C00366,2020-11-06,25,M,US,Premium,0,2851.2,0,1
C00367,2021-11-16,23,F,US,Premium,0,2169.17,0,0
C00368,2021-10-07,21,F,US,Regular,0,356.19,0,0
C00369,2023-04-25,35,M,US,VIP,0,4287.23,0,1
C00370,2022-05-16,45,M,BR,Premium,0,2115.61,0,1
C00371,2021-06-01,50,F,DE,Budget Shopper,0,503.53,1,1
C00372,2023-02-28,29,M,US,Regular,0,1232.82,1,1
C00373,2022-01-24,34,F,US,Regular,0,1554.0,1,0
C00374,2021-08-18,33,M,US,Budget Shopper,0,503.97,1,1
C00375,2022-08-25,27,F,US,Budget Shopper,0,374.56,0,1
C00376,2022-10-02,43,F,US,VIP,0,4755.09,1,1
C00377,2021-01-01,39,F,BR,Regular,0,1277.13,1,1
C00378,2022-03-30,36,F,US,Regular,0,1069.14,1,1
C00379,2023-03-21,39,M,UK,Premium,0,1917.89,1,1
C00380,2021-05-07,42,M,DE,Regular,0,1244.26,1,0
C00381,2021-06-30,42,F,US,VIP,0,3571.5,1,1
C00382,2022-05-20,24,F,AU,Premium,1,1872.86,1,1
C00383,2024-06-25,45,F,FR,Regular,0,1214.43,1,0
C00384,2023-03-14,38,M,US,Regular,1,884.07,0,1
C00385,2023-06-30,29,F,IN,Occasional Visitor,0,729.49,1,1
C00386,2022-10-29,37,M,US,Premium,0,2409.54,1,0
C00387,2024-08-25,39,M,US,Occasional Visitor,1,791.62,1,0
C00388,2023-04-12,47,M,DE,Budget Shopper,0,379.04,1,0
C00389,2023-02-17,22,Non-binary,FR,VIP,0,5411.1,1,1
C00390,2023-09-09,50,F,US,Regular,1,847.67,0,1
C00391,2021-10-24,35,F,US,Budget Shopper,1,706.33,1,1
C00392,2022-06-22,28,F,BR,Regular,0,989.62,1,0
C00393,2021-10-09,28,M,DE,Premium,0,2764.74,0,1
C00394,2022-09-16,22,M,CA,Budget Shopper,0,591.64,0,0
C00395,2023-03-27,18,M,UK,Regular,0,1002.41,1,1
C00396,2022-06-14,43,M,CA,Premium,0,1819.75,0,1
C00397,2021-05-13,58,F,DE,Budget Shopper,0,591.21,1,1
C00398,2022-12-27,18,M,US,Regular,0,708.79,1,1
C00399,2021-02-19,23,F,US,Regular,0,750.81,1,1
C00400,2022-10-15,44,F,CA,Regular,0,1266.92,1,0
C00401,2021-06-22,34,Non-binary,FR,VIP,0,4749.02,0,0
C00402,2020-09-19,45,M,FR,Premium,0,1975.87,1,1
C00403,2024-06-18,33,F,CA,Budget Shopper,1,437.67,1,1
C00404,2023-10-28,28,M,CA,Occasional Visitor,1,640.9,0,1
C00405,2020-03-12,32,M,US,VIP,0,7726.43,1,1
C00406,2022-04-03,18,F,IN,Budget Shopper,1,627.3,1,1
C00407,2022-08-24,21,M,BR,Premium,0,1905.41,1,1
C00408,2021-01-12,46,F,IN,Budget Shopper,0,460.92,1,1
