transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,total_amount,discount_applied,status,payment_method,shipping_cost
T009444,C01913,P0095,2023-01-01 10:27:26,1,42.76,42.76,0,completed,debit_card,8.11
T072044,C05971,P0251,2023-01-01 10:41:43,1,32.15,32.15,0,refunded,apple_pay,4.6
T068444,C01041,P0714,2023-01-01 10:57:54,1,13.9,13.9,0,completed,apple_pay,4.03
T067934,C00073,P0163,2023-01-01 10:58:57,1,40.44,40.44,0,pending,credit_card,6.7
T109957,C05273,P0969,2023-01-01 11:17:24,1,43.57,43.57,0,completed,debit_card,6.58
T107028,C02403,P0639,2023-01-01 11:19:15,1,109.48,109.48,0,refunded,credit_card,0.0
T093897,C08901,P0304,2023-01-01 11:21:23,1,90.37,90.37,0,refunded,paypal,0.0
T115004,C00596,P0303,2023-01-01 11:21:23,1,74.69,74.69,5,pending,credit_card,0.0
T093602,C04694,P0127,2023-01-01 11:32:50,1,7.7,7.7,10,completed,credit_card,5.33
T043828,C07067,P0402,2023-01-01 11:36:11,1,10.23,10.23,5,completed,apple_pay,6.72
T105002,C07655,P0861,2023-01-01 11:41:17,1,62.41,62.41,10,completed,debit_card,0.0
T019347,C07455,P0388,2023-01-01 11:51:36,2,34.25,68.5,0,completed,paypal,0.0
T010439,C06242,P0326,2023-01-01 11:58:01,1,81.4,81.4,0,refunded,debit_card,0.0
T083415,C07433,P0586,2023-01-01 11:58:03,1,370.45,370.45,0,refunded,paypal,0.0
T011791,C09975,P0262,2023-01-01 12:05:20,1,44.34,44.34,0,pending,paypal,7.8
T083145,C06933,P0705,2023-01-01 12:11:49,1,38.46,38.46,20,completed,credit_card,9.36
T004473,C07355,P0695,2023-01-01 12:36:43,1,101.58,101.58,0,completed,debit_card,0.0
T045919,C01445,P0320,2023-01-01 12:50:54,1,12.89,12.89,10,completed,debit_card,5.97
T034780,C05788,P0292,2023-01-01 13:01:00,1,53.91,53.91,15,completed,debit_card,0.0
T048493,C00525,P0922,2023-01-01 13:09:40,1,141.17,141.17,0,pending,credit_card,0.0
T019294,C06974,P0384,2023-01-01 13:12:47,1,16.5,16.5,0,pending,credit_card,4.54
T104165,C03088,P0593,2023-01-01 13:24:34,1,29.36,29.36,0,completed,debit_card,4.43
T115411,C08291,P0265,2023-01-01 13:37:33,1,43.86,43.86,0,completed,credit_card,8.77
T053021,C06540,P0658,2023-01-01 13:47:21,1,85.97,85.97,0,completed,credit_card,0.0
T112148,C08305,P0791,2023-01-01 14:06:41,1,50.01,50.01,0,refunded,apple_pay,0.0
T035648,C01680,P0732,2023-01-01 14:07:07,1,17.24,17.24,0,completed,paypal,4.17
T024495,C07019,P0952,2023-01-01 14:22:03,1,31.89,31.89,0,refunded,credit_card,8.2
T074662,C09267,P0970,2023-01-01 14:23:24,2,48.71,97.42,0,completed,credit_card,0.0
T015634,C07597,P0545,2023-01-01 14:23:47,1,34.81,34.81,20,completed,credit_card,5.46
T046874,C01708,P0523,2023-01-01 14:33:49,1,11.45,11.45,0,completed,paypal,9.63
T090252,C06862,P0732,2023-01-01 14:38:57,1,17.24,17.24,0,completed,bank_transfer,4.45
T050117,C01140,P0963,2023-01-01 14:53:44,1,20.14,20.14,0,completed,apple_pay,8.76
T067185,C08716,P0190,2023-01-01 15:11:39,1,58.5,58.5,0,refunded,apple_pay,0.0
T003999,C07002,P0990,2023-01-01 15:11:56,2,53.0,106.0,0,completed,paypal,0.0
T102623,C03758,P0016,2023-01-01 15:34:45,1,37.26,37.26,0,completed,credit_card,5.92
T089378,C01531,P0058,2023-01-01 15:38:14,1,17.8,17.8,0,completed,credit_card,8.24
T072255,C04532,P0283,2023-01-01 15:39:28,1,31.72,31.72,10,refunded,paypal,9.79
T091920,C03366,P0214,2023-01-01 15:47:04,1,32.94,32.94,0,completed,bank_transfer,8.47
T024198,C00780,P0082,2023-01-01 15:53:14,1,31.33,31.33,0,cancelled,credit_card,4.12
T053997,C00745,P0785,2023-01-01 15:59:49,1,43.44,43.44,0,completed,debit_card,8.27
T061868,C05900,P0799,2023-01-01 16:05:35,1,146.47,146.47,0,completed,debit_card,0.0
T086063,C06850,P0402,2023-01-01 16:08:26,1,10.23,10.23,5,cancelled,debit_card,6.03
T016101,C05933,P0090,2023-01-01 16:26:55,1,5.71,5.71,0,cancelled,debit_card,5.06
T067378,C08476,P0377,2023-01-01 16:29:06,1,38.44,38.44,50,refunded,credit_card,6.26
T030126,C03257,P0654,2023-01-01 16:30:48,1,24.07,24.07,0,pending,debit_card,9.34
T118271,C02266,P0532,2023-01-01 16:32:40,1,86.36,86.36,0,completed,debit_card,0.0
T045945,C06209,P0602,2023-01-01 16:34:35,1,17.39,17.39,0,completed,credit_card,8.08
T009979,C02141,P0408,2023-01-01 16:41:30,1,63.98,63.98,0,cancelled,apple_pay,0.0
T080386,C00948,P0053,2023-01-01 16:48:07,1,96.65,96.65,0,refunded,debit_card,0.0
T041968,C00584,P0631,2023-01-01 17:10:09,1,53.18,53.18,0,cancelled,debit_card,0.0
T081053,C05987,P0627,2023-01-01 17:18:43,1,8.44,8.44,25,refunded,google_pay,8.34
T116667,C00003,P0640,2023-01-01 17:19:11,1,73.38,73.38,0,refunded,credit_card,0.0
T023580,C02303,P0620,2023-01-01 17:21:30,1,15.05,15.05,0,cancelled,credit_card,4.31
T070045,C05626,P0073,2023-01-01 17:40:05,1,24.46,24.46,10,completed,credit_card,5.62
T070003,C02292,P0743,2023-01-01 17:53:51,2,13.52,27.04,5,completed,credit_card,8.63
T101463,C00756,P0629,2023-01-01 18:05:38,3,16.23,48.69,0,cancelled,credit_card,7.89
T054436,C08238,P0155,2023-01-01 18:16:32,1,18.09,18.09,0,completed,apple_pay,8.61
T069484,C08555,P0462,2023-01-01 18:36:35,1,6.31,6.31,0,pending,credit_card,8.06
T000455,C08350,P0264,2023-01-01 18:52:38,1,16.47,16.47,0,refunded,apple_pay,5.36
T042537,C03415,P0683,2023-01-01 18:59:08,3,67.14,201.42,0,completed,debit_card,0.0
T031792,C00178,P0323,2023-01-01 19:02:46,1,29.45,29.45,5,cancelled,credit_card,5.64
T062744,C06182,P0534,2023-01-01 19:16:40,1,10.83,10.83,10,completed,debit_card,8.96
T025568,C08411,P0065,2023-01-01 19:31:34,2,67.75,135.5,0,refunded,paypal,0.0
T112630,C05730,P0637,2023-01-01 19:45:20,1,23.33,23.33,0,refunded,debit_card,8.27
T111178,C09017,P0929,2023-01-01 20:00:52,1,19.45,19.45,0,completed,credit_card,8.17
T046635,C04449,P0097,2023-01-01 20:04:32,1,46.71,46.71,0,completed,credit_card,4.83
T023541,C03013,P0875,2023-01-01 20:09:06,1,11.6,11.6,0,refunded,credit_card,9.15
T041839,C09703,P0829,2023-01-01 20:11:43,2,33.25,66.5,0,completed,google_pay,0.0
T093209,C08020,P0127,2023-01-01 20:15:44,1,7.7,7.7,10,completed,apple_pay,8.61
T058022,C02674,P0705,2023-01-01 20:23:45,1,38.46,38.46,20,cancelled,credit_card,4.72
T115303,C08844,P0725,2023-01-01 20:46:40,2,67.98,135.97,30,completed,apple_pay,0.0
T112513,C06798,P0433,2023-01-01 20:47:42,1,23.54,23.54,0,completed,google_pay,9.06
T030397,C07536,P0012,2023-01-01 20:55:21,1,75.31,75.31,0,cancelled,credit_card,0.0
T094062,C07145,P0915,2023-01-01 21:08:12,1,77.27,77.27,0,completed,credit_card,0.0
T080060,C04794,P0128,2023-01-01 21:24:26,1,89.44,89.44,0,completed,credit_card,0.0
T108423,C00071,P0489,2023-01-01 21:25:41,1,39.88,39.88,0,completed,credit_card,6.69
T068249,C07262,P0879,2023-01-01 21:46:03,1,21.68,21.68,0,refunded,paypal,8.14
T019253,C06820,P0503,2023-01-01 21:49:05,1,96.01,96.01,40,completed,google_pay,0.0
T031601,C09867,P0060,2023-01-01 22:09:34,1,14.22,14.22,0,pending,debit_card,9.89
T098870,C03195,P0890,2023-01-01 22:12:49,1,31.49,31.49,0,refunded,credit_card,8.47
T048344,C05552,P0851,2023-01-01 22:31:47,1,25.07,25.07,0,cancelled,paypal,5.62
T110478,C03787,P0751,2023-01-01 22:51:53,1,31.32,31.32,0,completed,credit_card,4.32
T067823,C08983,P0550,2023-01-01 22:52:23,1,44.18,44.18,0,pending,google_pay,6.02
T079950,C07987,P0854,2023-01-01 22:55:08,1,21.66,21.66,50,completed,debit_card,9.75
T036698,C01290,P0981,2023-01-01 23:03:38,3,45.13,135.38,20,completed,debit_card,0.0
T043656,C02651,P0319,2023-01-01 23:07:45,1,230.34,230.34,0,completed,credit_card,0.0
T056092,C02355,P0571,2023-01-01 23:13:46,1,15.11,15.11,0,refunded,google_pay,6.16
T019732,C02363,P0179,2023-01-01 23:16:55,1,243.69,243.69,0,pending,google_pay,0.0
T089480,C01901,P0546,2023-01-01 23:24:26,2,41.75,83.5,0,completed,credit_card,0.0
T036092,C02867,P0825,2023-01-01 23:39:47,1,68.94,68.94,0,completed,google_pay,0.0
T099376,C09628,P0513,2023-01-01 23:57:16,1,14.73,14.73,0,completed,apple_pay,9.45
T081713,C04519,P0945,2023-01-01 23:59:40,1,45.62,45.62,40,completed,credit_card,7.45
T009913,C03554,P0166,2023-01-02 00:07:59,1,14.44,14.44,0,refunded,paypal,6.15
T049796,C04286,P0657,2023-01-02 00:08:02,1,76.55,76.55,0,refunded,credit_card,0.0
T008210,C01631,P0581,2023-01-02 00:18:00,1,72.03,72.03,0,completed,paypal,0.0
T066587,C01248,P0747,2023-01-02 00:19:46,1,10.47,10.47,0,completed,paypal,8.2
T098661,C07129,P0040,2023-01-02 00:21:40,1,11.91,11.91,0,completed,debit_card,8.34
T011646,C06530,P0172,2023-01-02 00:27:34,1,68.73,68.73,0,completed,paypal,0.0
T073441,C01150,P0169,2023-01-02 00:34:26,1,28.02,28.02,20,completed,paypal,5.47
T095736,C08165,P0416,2023-01-02 00:37:57,1,456.5,456.5,0,completed,credit_card,0.0
T061589,C05825,P0120,2023-01-02 00:44:26,2,50.36,100.72,30,completed,credit_card,0.0
T102107,C07270,P0438,2023-01-02 00:54:47,1,99.34,99.34,0,cancelled,google_pay,0.0
T110907,C07702,P0091,2023-01-02 01:00:06,1,17.21,17.21,20,pending,credit_card,7.67
T094044,C08298,P0125,2023-01-02 01:09:28,1,33.36,33.36,0,refunded,bank_transfer,8.88
T105056,C02460,P0522,2023-01-02 01:11:44,2,26.49,52.98,0,cancelled,google_pay,0.0
T034342,C07481,P0227,2023-01-02 01:15:39,1,60.95,60.95,0,completed,apple_pay,0.0
T029662,C07862,P0057,2023-01-02 01:45:46,1,196.18,196.18,20,completed,bank_transfer,0.0
T100378,C07251,P0187,2023-01-02 02:11:10,1,70.8,70.8,0,completed,debit_card,0.0
T060419,C04383,P0923,2023-01-02 02:22:41,1,34.48,34.48,0,refunded,apple_pay,9.75
T022809,C06896,P0720,2023-01-02 02:35:12,1,20.86,20.86,40,completed,debit_card,5.82
T029036,C04416,P0188,2023-01-02 02:41:57,1,20.08,20.08,0,completed,credit_card,7.19
T104173,C04244,P0450,2023-01-02 02:42:20,1,166.55,166.55,0,refunded,debit_card,0.0
T034985,C03934,P0796,2023-01-02 03:03:10,1,81.28,81.28,0,cancelled,google_pay,0.0
T100674,C06729,P0006,2023-01-02 03:04:12,1,43.06,43.06,0,refunded,credit_card,7.9
T018236,C06185,P0128,2023-01-02 03:06:42,1,89.44,89.44,0,pending,credit_card,0.0
T019514,C04821,P0609,2023-01-02 03:07:15,1,27.37,27.37,0,cancelled,credit_card,4.4
T041982,C00754,P0539,2023-01-02 03:17:25,1,64.98,64.98,0,pending,apple_pay,0.0
T024233,C08083,P0430,2023-01-02 03:38:32,1,62.73,62.73,0,completed,credit_card,0.0
T044482,C07316,P0096,2023-01-02 04:03:41,1,21.52,21.52,0,completed,apple_pay,9.72
T035623,C05023,P0708,2023-01-02 04:10:35,1,29.54,29.54,0,cancelled,credit_card,6.73
T084247,C00171,P0461,2023-01-02 04:16:14,1,13.06,13.06,0,completed,apple_pay,6.46
T092514,C07258,P0573,2023-01-02 04:27:01,1,168.25,168.25,0,refunded,credit_card,0.0
T087320,C08586,P0130,2023-01-02 04:38:57,1,56.05,56.05,10,refunded,bank_transfer,0.0
T015034,C01573,P0718,2023-01-02 04:57:03,1,36.95,36.95,0,refunded,credit_card,7.69
T077476,C08571,P0215,2023-01-02 05:28:10,1,91.39,91.39,0,completed,credit_card,0.0
T050430,C07744,P0544,2023-01-02 05:30:02,1,40.89,40.89,0,completed,google_pay,7.93
T018207,C08328,P0801,2023-01-02 05:52:30,1,122.01,122.01,5,pending,credit_card,0.0
T049995,C06301,P0869,2023-01-02 05:56:23,1,42.86,42.86,0,completed,credit_card,5.13
T031260,C01592,P0370,2023-01-02 06:16:20,1,58.76,58.76,0,cancelled,apple_pay,0.0
T047027,C04966,P0613,2023-01-02 06:33:43,2,38.11,76.22,0,completed,apple_pay,0.0
T031777,C00616,P0903,2023-01-02 06:36:54,1,12.24,12.24,0,cancelled,paypal,7.56
T084110,C01815,P0146,2023-01-02 06:42:17,1,20.43,20.43,0,completed,google_pay,7.34
T103721,C07719,P0295,2023-01-02 06:45:31,1,25.71,25.71,0,cancelled,debit_card,6.87
T078660,C05263,P0181,2023-01-02 06:51:13,1,4.03,4.03,40,completed,google_pay,7.57
T036135,C04679,P0837,2023-01-02 06:51:30,1,7.34,7.34,0,completed,debit_card,7.67
T034014,C06242,P0989,2023-01-02 06:57:04,3,79.91,239.73,0,completed,bank_transfer,0.0
T028377,C03495,P0892,2023-01-02 06:59:54,1,3.71,3.71,0,cancelled,debit_card,9.41
T076668,C03565,P0530,2023-01-02 07:03:53,2,25.75,51.5,0,completed,paypal,0.0
T017616,C05755,P0852,2023-01-02 07:04:57,1,29.25,29.25,0,completed,credit_card,8.33
T035601,C08820,P0510,2023-01-02 07:18:12,1,14.8,14.8,0,refunded,paypal,6.38
T019969,C01255,P0919,2023-01-02 07:31:00,1,76.18,76.18,50,completed,apple_pay,0.0
T094976,C03575,P0064,2023-01-02 07:36:10,1,16.16,16.16,30,pending,debit_card,9.42
T019574,C02866,P0522,2023-01-02 07:55:52,1,26.49,26.49,0,completed,paypal,8.5
T075305,C00779,P0260,2023-01-02 08:13:43,1,9.75,9.75,50,cancelled,credit_card,7.78
T095439,C03776,P0575,2023-01-02 08:20:00,1,20.99,20.99,0,completed,debit_card,6.32
T005765,C08408,P0145,2023-01-02 09:01:25,1,182.31,182.31,40,completed,credit_card,0.0
T110309,C02835,P0544,2023-01-02 09:06:15,1,40.89,40.89,0,completed,debit_card,7.64
T056775,C00157,P0283,2023-01-02 09:37:16,1,31.72,31.72,10,completed,bank_transfer,8.33
T018644,C05340,P0358,2023-01-02 09:38:59,1,14.96,14.96,0,completed,apple_pay,4.76
T115290,C00700,P0702,2023-01-02 10:17:55,1,74.59,74.59,0,completed,debit_card,0.0
T112634,C00975,P0603,2023-01-02 10:41:34,1,13.88,13.88,15,completed,debit_card,7.96
T066022,C05771,P0733,2023-01-02 11:33:26,1,107.92,107.92,0,refunded,paypal,0.0
T060547,C03862,P0379,2023-01-02 11:43:06,1,9.36,9.36,0,completed,credit_card,8.83
T049970,C01583,P0842,2023-01-02 11:45:18,2,66.05,132.11,15,pending,credit_card,0.0
T067880,C03245,P0047,2023-01-02 12:01:33,1,35.22,35.22,0,completed,credit_card,9.54
T076187,C05797,P0177,2023-01-02 12:07:07,1,56.21,56.21,10,cancelled,apple_pay,0.0
T088187,C02386,P0390,2023-01-02 12:12:17,1,9.37,9.37,0,refunded,debit_card,7.6
T110728,C06112,P0864,2023-01-02 12:20:51,1,14.44,14.44,30,completed,credit_card,7.45
T039204,C02485,P0448,2023-01-02 12:34:25,1,20.13,20.13,0,refunded,apple_pay,6.07
T061432,C08351,P0341,2023-01-02 12:39:45,1,21.48,21.48,0,completed,google_pay,8.77
T090292,C00333,P0841,2023-01-02 12:40:51,1,17.95,17.95,0,pending,apple_pay,9.48
T086579,C05680,P0594,2023-01-02 12:54:07,1,21.46,21.46,50,completed,google_pay,6.79
T069793,C08820,P0916,2023-01-02 12:59:44,1,136.05,136.05,25,completed,bank_transfer,0.0
T063359,C02923,P0764,2023-01-02 13:14:37,1,12.94,12.94,0,cancelled,paypal,4.16
T102575,C05292,P0587,2023-01-02 13:31:51,1,22.16,22.16,0,completed,paypal,8.29
T004682,C06680,P0956,2023-01-02 13:33:58,1,11.75,11.75,25,completed,bank_transfer,8.28
T090240,C08782,P0190,2023-01-02 13:34:45,1,58.5,58.5,0,completed,credit_card,0.0
T104109,C05434,P0605,2023-01-02 13:35:34,1,14.5,14.5,50,completed,debit_card,9.08
T006087,C08902,P0374,2023-01-02 13:36:57,1,12.66,12.66,0,completed,debit_card,6.21
T007815,C06529,P0482,2023-01-02 14:06:31,1,185.33,185.33,0,completed,paypal,0.0
T062759,C09889,P0392,2023-01-02 14:32:20,2,22.62,45.24,0,refunded,credit_card,6.29
T050541,C02692,P0867,2023-01-02 14:38:28,1,35.36,35.36,0,completed,debit_card,9.06
T063514,C06679,P0928,2023-01-02 14:48:06,1,15.24,15.24,0,completed,paypal,5.58
T114617,C08995,P0762,2023-01-02 15:21:58,1,19.29,19.29,0,completed,google_pay,9.47
T036699,C07391,P0237,2023-01-02 15:31:05,1,54.38,54.38,0,cancelled,debit_card,0.0
T102486,C02840,P0648,2023-01-02 15:41:58,2,41.16,82.32,0,refunded,debit_card,0.0
T104524,C08049,P0534,2023-01-02 15:42:03,1,10.83,10.83,10,completed,credit_card,8.97
T027613,C01488,P0745,2023-01-02 15:42:35,1,105.02,105.02,0,completed,debit_card,0.0
T104936,C01386,P0070,2023-01-02 15:58:04,1,59.48,59.48,0,completed,paypal,0.0
T051559,C06540,P0623,2023-01-02 16:03:02,1,29.59,29.59,0,completed,credit_card,9.29
T017779,C08438,P0702,2023-01-02 16:07:38,1,74.59,74.59,0,completed,credit_card,0.0
T108256,C03296,P0788,2023-01-02 16:12:20,1,24.12,24.12,0,completed,debit_card,8.31
T058819,C04199,P0484,2023-01-02 16:21:28,1,56.36,56.36,0,pending,credit_card,0.0
T042392,C00379,P0107,2023-01-02 16:25:22,2,57.5,115.0,0,refunded,paypal,0.0
T027993,C00861,P0377,2023-01-02 16:58:45,1,38.44,38.44,50,completed,apple_pay,5.42
T084333,C08572,P0144,2023-01-02 17:06:04,1,35.09,35.09,0,completed,paypal,9.22
T098849,C04352,P0943,2023-01-02 17:11:24,1,14.86,14.86,0,completed,paypal,6.63
T077089,C05272,P0269,2023-01-02 17:31:42,2,27.11,54.22,20,completed,paypal,0.0
T105234,C03126,P0402,2023-01-02 17:36:36,1,10.23,10.23,5,cancelled,credit_card,4.25
T096897,C08218,P0685,2023-01-02 17:44:09,1,133.18,133.18,0,refunded,debit_card,0.0
T040088,C00489,P0754,2023-01-02 18:19:15,2,199.82,399.64,0,refunded,google_pay,0.0
T040652,C08401,P0985,2023-01-02 18:21:14,1,24.84,24.84,0,completed,apple_pay,4.2
T056981,C05908,P0407,2023-01-02 18:23:05,1,114.41,114.41,0,completed,debit_card,0.0
T035898,C08821,P0653,2023-01-02 18:35:06,1,43.12,43.12,0,pending,google_pay,7.16
T006248,C09219,P0405,2023-01-02 18:41:48,1,22.16,22.16,0,completed,apple_pay,7.4
T038445,C01754,P0352,2023-01-02 18:52:06,1,237.32,237.32,0,completed,credit_card,0.0
T076118,C00754,P0233,2023-01-02 19:14:40,1,23.76,23.76,0,completed,apple_pay,8.19
T090472,C02617,P0480,2023-01-02 19:22:24,2,12.26,24.52,0,cancelled,credit_card,9.47
T027152,C03289,P0438,2023-01-02 19:28:12,1,99.34,99.34,0,completed,credit_card,0.0
T013649,C03974,P0245,2023-01-02 19:30:28,1,21.35,21.35,0,completed,credit_card,5.3
T113128,C08000,P0304,2023-01-02 19:33:17,1,90.37,90.37,0,completed,google_pay,0.0
T107511,C07673,P0448,2023-01-02 19:54:58,1,20.13,20.13,0,cancelled,debit_card,5.43
T098610,C05675,P0218,2023-01-02 19:59:15,1,87.92,87.92,5,refunded,debit_card,0.0
T074979,C05191,P0911,2023-01-02 20:23:27,1,38.26,38.26,0,completed,credit_card,4.88
T062996,C08946,P0669,2023-01-02 20:36:09,1,20.59,20.59,0,completed,apple_pay,9.87
T036103,C04413,P0215,2023-01-02 20:44:56,1,91.39,91.39,0,cancelled,debit_card,0.0
T040664,C06170,P0990,2023-01-02 21:07:15,1,53.0,53.0,0,pending,paypal,0.0
T053016,C06971,P0039,2023-01-02 21:09:10,1,38.89,38.89,0,completed,debit_card,9.03
T010113,C06342,P0655,2023-01-02 21:19:52,1,31.87,31.87,0,pending,paypal,6.12
T023847,C09746,P0506,2023-01-02 21:26:29,1,117.38,117.38,50,completed,debit_card,0.0
T110196,C01037,P0787,2023-01-02 21:41:08,1,5.87,5.87,15,completed,google_pay,5.93
T049666,C09414,P0233,2023-01-02 22:03:49,1,23.76,23.76,0,refunded,credit_card,5.12
T058522,C05249,P0595,2023-01-02 22:08:29,1,99.46,99.46,0,refunded,credit_card,0.0
T027061,C01790,P0119,2023-01-02 22:15:04,1,21.18,21.18,0,completed,apple_pay,4.05
T005036,C06115,P0904,2023-01-02 22:15:31,1,10.64,10.64,5,cancelled,credit_card,9.91
T001778,C06765,P0911,2023-01-02 22:16:38,1,38.26,38.26,0,cancelled,debit_card,8.23
T074219,C05602,P0050,2023-01-02 22:19:01,1,84.53,84.53,0,cancelled,google_pay,0.0
