session_id,customer_id,session_date,device,channel,duration_seconds,pages_viewed,converted,bounced,cart_additions
S061678,C05414,2023-01-01 14:48:28,mobile,social,383,5,0,0,0
S026563,C05485,2023-01-01 14:50:51,desktop,direct,612,16,0,0,0
S063445,C04596,2023-01-01 15:52:40,desktop,paid_search,58,1,0,0,0
S058104,C06296,2023-01-01 16:07:13,mobile,direct,229,4,0,0,0
S043916,C09771,2023-01-01 17:56:52,mobile,organic,103,1,1,0,3
S013658,C08308,2023-01-01 18:05:00,desktop,organic,53,1,0,0,0
S038624,C04019,2023-01-01 18:07:28,desktop,paid_search,544,6,0,0,2
S037051,C00172,2023-01-01 18:18:05,mobile,referral,64,1,0,0,0
S041793,C06699,2023-01-01 18:24:49,mobile,direct,94,1,0,0,2
S051518,C00567,2023-01-01 18:45:39,mobile,organic,68,1,0,0,0
S019872,C06753,2023-01-01 18:57:31,mobile,social,407,7,1,0,2
S028461,C04110,2023-01-01 18:59:00,mobile,direct,207,6,0,0,0
S032474,C06422,2023-01-01 19:05:16,desktop,direct,325,8,0,0,1
S042846,C06413,2023-01-01 19:10:02,tablet,email,525,8,0,0,0
S044912,C03701,2023-01-01 19:15:39,desktop,paid_search,144,4,0,0,1
S046602,C06403,2023-01-01 19:30:32,mobile,referral,22,1,0,1,1
S066394,C00023,2023-01-01 19:33:28,mobile,organic,699,8,0,0,0
S072285,C05522,2023-01-01 19:34:06,desktop,organic,540,10,0,0,0
S031993,C05536,2023-01-01 19:41:05,mobile,email,10,1,0,1,1
S076108,C04864,2023-01-01 20:00:50,desktop,paid_search,803,9,0,0,2
S003438,C04365,2023-01-01 20:14:25,desktop,email,80,1,0,0,0
S008153,C04970,2023-01-01 20:16:22,mobile,organic,31,1,0,0,0
S007913,C08478,2023-01-01 20:36:58,tablet,social,10,1,0,1,0
S015425,C01734,2023-01-01 20:58:01,desktop,email,2167,24,0,0,0
S044311,C05342,2023-01-01 21:01:38,mobile,organic,481,11,0,0,0
S060614,C02933,2023-01-01 21:13:31,desktop,email,33,1,1,0,4
S028150,C07586,2023-01-01 21:33:00,tablet,direct,105,1,0,0,2
S029610,C03106,2023-01-01 21:40:33,mobile,email,601,8,0,0,0
S028700,C09189,2023-01-01 22:00:09,desktop,referral,300,4,0,0,0
S007522,C05185,2023-01-01 22:03:52,mobile,social,28,1,1,1,3
S045392,C04969,2023-01-01 22:06:22,tablet,social,90,1,0,0,1
S044031,C08273,2023-01-01 22:20:20,mobile,organic,456,13,0,0,0
S070733,C09672,2023-01-01 22:25:15,desktop,email,112,2,0,0,2
S020134,C05797,2023-01-01 22:26:18,desktop,social,1629,31,0,0,0
S016367,C01668,2023-01-01 22:41:22,mobile,direct,481,9,0,0,0
S065697,C01841,2023-01-01 22:41:53,desktop,direct,57,1,0,0,0
S018333,C01340,2023-01-01 22:44:28,mobile,social,176,2,0,0,0
S005837,C06542,2023-01-01 22:49:52,mobile,social,968,13,0,0,0
S074210,C04107,2023-01-01 22:50:27,mobile,referral,322,8,0,0,0
S067832,C03731,2023-01-01 23:44:22,desktop,paid_search,641,14,0,0,0
S035924,C00503,2023-01-01 23:46:08,desktop,referral,40,1,0,0,0
S015067,C04726,2023-01-02 00:21:58,tablet,organic,74,2,1,0,3
S036245,C08316,2023-01-02 00:39:28,desktop,referral,122,2,0,0,0
S045967,C05054,2023-01-02 00:45:39,mobile,paid_search,448,14,0,0,2
S054450,C02471,2023-01-02 00:53:05,mobile,referral,525,6,0,0,0
S043861,C01583,2023-01-02 00:56:51,desktop,paid_search,369,5,0,0,0
S040393,C04453,2023-01-02 01:23:02,mobile,organic,960,19,0,0,0
S030800,C00442,2023-01-02 01:46:33,tablet,paid_search,106,1,0,0,1
S007589,C00617,2023-01-02 01:49:21,desktop,referral,555,7,0,0,0
S002227,C01269,2023-01-02 01:54:25,desktop,paid_search,665,10,0,0,1
S053653,C02944,2023-01-02 01:59:58,desktop,email,171,1,0,0,1
S064007,C01921,2023-01-02 02:00:30,mobile,organic,69,1,0,0,0
S018187,C01410,2023-01-02 02:00:45,tablet,direct,107,1,0,0,0
S048572,C08566,2023-01-02 02:07:37,tablet,social,1462,22,0,0,2
S010755,C05807,2023-01-02 02:13:09,tablet,direct,1027,17,0,0,0
S052594,C05148,2023-01-02 02:18:55,desktop,organic,911,25,0,0,0
S012548,C05132,2023-01-02 02:30:01,mobile,email,19,1,0,1,0
S031706,C03345,2023-01-02 02:31:31,mobile,paid_search,203,2,0,0,2
S049417,C02728,2023-01-02 02:34:46,desktop,referral,310,3,0,0,0
S032703,C01085,2023-01-02 02:47:35,desktop,organic,40,1,1,0,2
S052645,C04458,2023-01-02 02:49:27,desktop,email,41,1,0,0,0
S066001,C03437,2023-01-02 03:15:03,mobile,paid_search,103,1,0,0,0
S041340,C09075,2023-01-02 03:18:41,desktop,social,407,12,0,0,0
S033463,C05194,2023-01-02 03:21:19,tablet,paid_search,114,2,1,0,3
S044824,C05833,2023-01-02 03:22:45,mobile,social,251,4,0,0,0
S065315,C01056,2023-01-02 04:13:55,mobile,direct,1275,35,0,0,2
S029500,C01119,2023-01-02 04:34:34,mobile,paid_search,266,6,0,0,1
S009683,C04039,2023-01-02 05:01:51,mobile,social,40,1,0,0,1
S013424,C03661,2023-01-02 05:09:30,desktop,paid_search,258,3,1,0,5
S001072,C01083,2023-01-02 05:27:09,mobile,organic,264,3,0,0,0
S016238,C09573,2023-01-02 05:31:25,tablet,email,175,2,1,0,3
S013083,C09263,2023-01-02 05:57:50,tablet,email,1432,46,0,0,0
S030433,C06699,2023-01-02 06:00:35,desktop,organic,398,12,0,0,0
S037365,C05268,2023-01-02 06:04:50,mobile,email,898,13,1,0,3
S023871,C03187,2023-01-02 06:25:23,mobile,organic,33,1,0,0,0
S052415,C06259,2023-01-02 06:29:24,mobile,organic,281,4,0,0,2
S009856,C03576,2023-01-02 06:48:20,mobile,organic,343,4,0,0,1
S016979,C03370,2023-01-02 06:48:32,desktop,organic,940,14,0,0,0
S036431,C02231,2023-01-02 07:01:06,tablet,email,236,3,0,0,1
S014595,C02527,2023-01-02 07:17:29,desktop,direct,320,7,0,0,0
S018947,C09829,2023-01-02 07:21:03,desktop,organic,468,10,0,0,1
S015409,C00467,2023-01-02 07:21:39,mobile,email,238,4,0,0,0
S057407,C04658,2023-01-02 07:32:53,tablet,social,101,2,0,0,0
S016584,C00857,2023-01-02 07:34:06,desktop,email,769,16,0,0,0
S077910,C07231,2023-01-02 07:45:25,mobile,direct,76,1,0,0,0
S074409,C08808,2023-01-02 08:00:33,desktop,paid_search,147,2,1,0,4
S043600,C00500,2023-01-02 08:01:40,mobile,organic,735,18,0,0,0
S046651,C00363,2023-01-02 08:04:56,mobile,organic,127,2,0,0,0
S011592,C08486,2023-01-02 08:38:52,tablet,organic,425,6,0,0,1
S036600,C04902,2023-01-02 08:42:37,desktop,social,60,1,0,0,0
S040788,C09335,2023-01-02 08:54:49,desktop,direct,449,5,0,0,2
S013929,C08452,2023-01-02 08:55:04,mobile,organic,75,1,0,0,0
S029177,C00751,2023-01-02 09:05:36,mobile,organic,44,1,0,0,2
S075190,C05816,2023-01-02 09:16:56,desktop,organic,370,4,0,0,1
S060411,C08962,2023-01-02 09:21:18,mobile,referral,240,5,0,0,0
S076434,C03422,2023-01-02 09:24:13,desktop,referral,432,5,0,0,1
S020750,C05319,2023-01-02 09:30:24,desktop,paid_search,392,6,0,0,0
S072909,C04211,2023-01-02 09:34:32,desktop,email,256,4,0,0,0
S059748,C06017,2023-01-02 09:53:30,mobile,email,465,10,0,0,0
S042094,C05390,2023-01-02 10:13:04,tablet,referral,81,1,0,0,0
S048447,C01561,2023-01-02 10:30:10,mobile,email,16,1,0,1,0
S020373,C05417,2023-01-02 10:52:41,tablet,social,85,1,0,0,1
S009862,C08697,2023-01-02 10:58:35,mobile,organic,1078,27,0,0,0
S018082,C07393,2023-01-02 11:03:23,mobile,email,69,1,0,0,2
S065028,C00518,2023-01-02 11:17:22,tablet,direct,84,1,0,0,1
S073618,C04450,2023-01-02 11:33:59,mobile,email,221,2,0,0,0
S000224,C02797,2023-01-02 11:43:49,mobile,direct,233,3,0,0,0
S070811,C09622,2023-01-02 11:57:12,desktop,social,614,6,1,0,2
S017060,C08232,2023-01-02 12:32:02,desktop,organic,419,7,1,0,4
S024949,C00602,2023-01-02 12:33:15,tablet,referral,1399,21,0,0,0
S003649,C07276,2023-01-02 13:32:41,tablet,direct,73,1,0,0,1
S045623,C03242,2023-01-02 14:26:24,mobile,email,292,3,0,0,0
S021467,C06968,2023-01-02 14:38:02,mobile,organic,902,26,0,0,0
S025494,C09405,2023-01-02 14:47:13,desktop,referral,356,4,0,0,0
S075396,C04752,2023-01-02 15:31:55,desktop,email,229,4,0,0,0
S072098,C02939,2023-01-02 15:34:36,mobile,referral,49,1,0,0,1
S047615,C09348,2023-01-02 15:44:08,tablet,organic,336,6,0,0,0
S047378,C01771,2023-01-02 15:45:18,mobile,direct,182,2,0,0,0
S000707,C00119,2023-01-02 15:46:14,desktop,direct,1641,38,1,0,4
S066867,C00651,2023-01-02 15:46:37,mobile,paid_search,1591,22,0,0,0
S066607,C04315,2023-01-02 15:48:22,desktop,direct,365,4,0,0,0
S072464,C03750,2023-01-02 15:54:06,tablet,referral,71,1,0,0,2
S016116,C08488,2023-01-02 16:04:20,desktop,paid_search,267,3,0,0,0
S040077,C01577,2023-01-02 16:18:53,mobile,email,333,4,0,0,1
S034664,C03241,2023-01-02 16:41:10,desktop,email,1125,18,0,0,0
S012400,C08913,2023-01-02 17:24:30,mobile,direct,351,6,0,0,1
S064634,C08349,2023-01-02 17:33:18,mobile,organic,76,1,0,0,0
S059158,C05123,2023-01-02 17:33:28,desktop,organic,534,6,0,0,2
S029989,C03869,2023-01-02 17:54:38,desktop,direct,371,4,0,0,1
S027459,C07777,2023-01-02 18:12:28,mobile,organic,489,7,0,0,2
S000828,C07047,2023-01-02 18:22:13,tablet,paid_search,515,8,0,0,0
S016712,C02892,2023-01-02 18:33:09,tablet,paid_search,562,11,0,0,0
S054915,C00621,2023-01-02 18:39:13,mobile,organic,55,1,0,0,0
S073335,C02620,2023-01-02 18:46:15,desktop,email,1261,16,0,0,0
S021672,C02536,2023-01-02 18:47:58,mobile,referral,210,3,0,0,1
S075999,C03820,2023-01-02 19:41:23,desktop,paid_search,55,1,0,0,1
S049564,C01788,2023-01-02 19:56:17,mobile,paid_search,194,4,0,0,0
S001316,C08095,2023-01-02 19:57:17,mobile,paid_search,119,2,0,0,0
S068345,C00627,2023-01-02 20:05:34,desktop,direct,49,1,0,0,0
S071684,C07122,2023-01-02 20:15:11,mobile,paid_search,13,1,0,1,2
S043573,C03074,2023-01-02 20:23:13,desktop,direct,343,9,0,0,0
S005104,C07765,2023-01-02 20:47:19,mobile,direct,261,7,0,0,0
S034323,C04607,2023-01-02 21:57:16,tablet,organic,76,1,0,0,0
S060679,C04864,2023-01-02 21:57:21,desktop,email,875,20,0,0,2
S005872,C04032,2023-01-02 22:28:51,mobile,organic,295,4,0,0,0
S005894,C04483,2023-01-02 22:44:45,tablet,paid_search,10,1,0,1,2
S070833,C05277,2023-01-02 22:53:31,mobile,direct,17,1,0,1,2
S078783,C04432,2023-01-02 23:13:35,mobile,organic,132,1,0,0,0
S078083,C06118,2023-01-02 23:16:20,desktop,organic,2714,37,0,0,2
S078726,C01030,2023-01-02 23:47:28,desktop,direct,396,6,1,0,2
S004533,C07397,2023-01-02 23:58:18,desktop,paid_search,160,3,0,0,0
S036892,C09163,2023-01-03 00:18:29,mobile,organic,357,11,0,0,0
S011124,C08204,2023-01-03 00:20:41,desktop,direct,306,6,0,0,2
S041535,C05928,2023-01-03 00:27:54,mobile,organic,1374,44,0,0,2
S061014,C07414,2023-01-03 00:33:51,tablet,social,622,12,0,0,0
S079203,C09995,2023-01-03 00:39:14,desktop,organic,209,2,0,0,0
S028835,C05472,2023-01-03 01:16:33,mobile,paid_search,324,6,0,0,1
S074915,C08720,2023-01-03 01:22:51,desktop,paid_search,496,6,0,0,0
S019673,C06140,2023-01-03 01:47:20,desktop,social,160,2,0,0,1
S015813,C08296,2023-01-03 01:53:22,mobile,organic,296,3,1,0,3
S049050,C09665,2023-01-03 02:15:28,desktop,paid_search,96,1,0,0,0
S017684,C07962,2023-01-03 02:23:29,mobile,paid_search,364,4,0,0,0
S012503,C05548,2023-01-03 03:07:01,desktop,email,94,1,0,0,2
S022753,C00853,2023-01-03 03:14:53,desktop,direct,201,3,0,0,0
S007964,C07151,2023-01-03 03:16:34,mobile,social,700,19,0,0,0
S014558,C08514,2023-01-03 03:27:26,tablet,direct,430,11,0,0,0
S067466,C01043,2023-01-03 03:31:23,mobile,social,246,3,0,0,1
S006230,C08850,2023-01-03 03:39:20,mobile,organic,181,2,0,0,1
S044439,C07780,2023-01-03 03:42:05,desktop,paid_search,185,2,1,0,1
S017422,C01319,2023-01-03 04:35:22,mobile,social,1265,26,0,0,0
S005866,C04545,2023-01-03 04:45:33,mobile,social,186,2,0,0,0
S004527,C09500,2023-01-03 04:47:16,desktop,social,437,5,0,0,1
S020367,C06648,2023-01-03 05:16:32,mobile,paid_search,35,1,0,0,2
S038130,C08019,2023-01-03 05:19:05,desktop,social,72,1,0,0,1
S058422,C00098,2023-01-03 05:27:35,desktop,direct,265,5,0,0,0
S039793,C00063,2023-01-03 05:47:53,mobile,referral,256,4,0,0,0
S046702,C07859,2023-01-03 05:53:42,mobile,social,350,5,0,0,0
S075339,C09914,2023-01-03 06:04:40,mobile,paid_search,33,1,1,0,3
S053055,C04023,2023-01-03 06:12:40,mobile,social,500,13,0,0,0
S019012,C06418,2023-01-03 07:12:52,mobile,paid_search,104,2,0,0,1
S079348,C06377,2023-01-03 07:34:15,desktop,social,887,18,0,0,2
S069889,C06250,2023-01-03 07:51:27,desktop,referral,612,17,0,0,0
S043588,C05709,2023-01-03 08:06:37,desktop,social,171,2,0,0,0
S006100,C01805,2023-01-03 08:12:50,desktop,organic,218,2,0,0,2
S011478,C03553,2023-01-03 08:32:20,desktop,paid_search,534,7,0,0,1
S008098,C03774,2023-01-03 08:36:39,mobile,email,1129,15,0,0,2
S060456,C03034,2023-01-03 08:52:16,desktop,organic,47,1,0,0,2
S059238,C01934,2023-01-03 09:08:49,desktop,direct,152,3,0,0,0
S076313,C06476,2023-01-03 09:17:17,tablet,organic,494,7,0,0,0
S073777,C06901,2023-01-03 09:26:34,mobile,email,245,4,0,0,0
S033543,C00709,2023-01-03 10:26:12,tablet,organic,16,1,0,1,0
S058023,C00752,2023-01-03 10:28:04,tablet,direct,10,1,0,1,1
S018536,C05556,2023-01-03 10:42:32,desktop,organic,311,6,0,0,0
S037058,C07102,2023-01-03 10:43:01,desktop,paid_search,370,5,0,0,2
S077267,C09055,2023-01-03 10:53:26,desktop,organic,693,14,1,0,2
S072570,C03794,2023-01-03 10:59:46,mobile,direct,252,2,0,0,1
S058833,C09729,2023-01-03 11:25:13,desktop,organic,471,5,0,0,0
S058817,C01358,2023-01-03 11:59:13,desktop,organic,998,21,0,0,1
S013679,C06062,2023-01-03 12:15:27,mobile,organic,186,2,0,0,1
S029824,C04851,2023-01-03 12:26:47,tablet,social,501,5,0,0,0
S045595,C09693,2023-01-03 12:42:40,mobile,paid_search,101,1,0,0,1
S054984,C00401,2023-01-03 12:54:42,desktop,organic,30,1,0,0,0
S006282,C02468,2023-01-03 13:01:50,mobile,paid_search,515,8,0,0,2
S054796,C03352,2023-01-03 13:42:08,mobile,organic,71,1,0,0,0
S018111,C08822,2023-01-03 13:54:55,desktop,social,32,1,0,0,1
S074359,C07668,2023-01-03 14:00:36,mobile,paid_search,10,1,0,1,1
S076449,C08506,2023-01-03 14:14:51,tablet,organic,203,5,0,0,0
S070153,C08196,2023-01-03 14:17:05,desktop,direct,1218,36,0,0,1
S045211,C06304,2023-01-03 14:22:31,desktop,referral,625,17,0,0,0
S036139,C09291,2023-01-03 14:22:35,mobile,email,151,4,1,0,2
S040229,C04079,2023-01-03 14:24:00,desktop,paid_search,35,1,1,0,3
S073576,C01409,2023-01-03 14:37:44,tablet,social,843,19,0,0,2
S043765,C03027,2023-01-03 14:40:25,mobile,email,302,7,0,0,2
S024642,C05192,2023-01-03 15:02:27,mobile,organic,67,1,0,0,1
S019543,C02548,2023-01-03 15:05:47,desktop,social,44,1,0,0,0
S028253,C06115,2023-01-03 15:18:25,desktop,paid_search,68,2,0,0,1
S046183,C02220,2023-01-03 15:37:18,mobile,organic,421,12,0,0,2
S022811,C06383,2023-01-03 15:42:22,mobile,direct,303,3,0,0,0
S078787,C00802,2023-01-03 16:16:33,tablet,organic,1294,34,0,0,0
S000011,C01265,2023-01-03 16:30:16,desktop,organic,183,2,0,0,0
S011559,C05583,2023-01-03 16:35:35,tablet,paid_search,198,3,0,0,0
S030053,C07029,2023-01-03 16:39:57,desktop,paid_search,315,3,0,0,0
S063305,C05143,2023-01-03 16:42:41,mobile,referral,715,16,0,0,0
S024622,C03160,2023-01-03 16:45:22,desktop,paid_search,110,1,0,0,0
S062562,C06625,2023-01-03 16:47:31,mobile,social,1407,32,0,0,1
S036234,C08086,2023-01-03 16:51:36,desktop,social,1103,32,1,0,1
S027438,C06824,2023-01-03 17:39:14,mobile,direct,52,1,0,0,2
S017918,C04461,2023-01-03 17:59:16,desktop,organic,212,3,0,0,0
S001761,C01736,2023-01-03 18:09:21,tablet,organic,803,18,0,0,2
S067433,C05265,2023-01-03 19:02:14,mobile,social,113,1,0,0,1
S004886,C08403,2023-01-03 19:06:06,desktop,organic,373,4,0,0,0
S062418,C04934,2023-01-03 19:08:20,mobile,social,48,1,0,0,1
S041341,C05625,2023-01-03 19:25:43,desktop,referral,37,1,0,0,1
S046716,C09008,2023-01-03 19:31:44,mobile,direct,497,7,0,0,0
S057410,C08787,2023-01-03 19:43:34,mobile,referral,129,2,0,0,0
S062414,C04903,2023-01-03 19:44:18,mobile,direct,1417,29,0,0,1
S071662,C08901,2023-01-03 20:15:29,mobile,organic,626,13,0,0,0
S034647,C01655,2023-01-03 20:27:04,mobile,referral,227,3,1,0,2
S002995,C03952,2023-01-03 20:54:40,desktop,social,127,2,0,0,0
S014108,C02398,2023-01-03 20:57:15,mobile,paid_search,134,3,0,0,0
S010130,C08577,2023-01-03 21:23:10,tablet,direct,214,2,0,0,0
S030355,C07943,2023-01-03 21:41:30,mobile,paid_search,1107,25,0,0,1
S045988,C02236,2023-01-03 21:57:22,mobile,email,197,2,0,0,1
S049938,C03795,2023-01-03 22:26:19,desktop,organic,394,8,0,0,0
S037729,C07568,2023-01-03 23:22:53,mobile,organic,816,9,1,0,2
S030859,C01074,2023-01-03 23:30:36,desktop,organic,3193,79,0,0,2
S056654,C05116,2023-01-04 00:06:16,mobile,organic,162,3,0,0,0
S064857,C02005,2023-01-04 00:13:34,mobile,organic,179,2,0,0,0
S064246,C04402,2023-01-04 00:55:23,desktop,social,113,2,1,0,2
S062897,C09623,2023-01-04 01:26:54,tablet,email,1033,23,0,0,0
S067922,C03783,2023-01-04 01:48:33,tablet,social,64,1,0,0,0
S046866,C06693,2023-01-04 01:49:51,mobile,email,988,22,0,0,0
S037617,C08415,2023-01-04 01:58:26,desktop,paid_search,205,4,0,0,0
S043846,C09987,2023-01-04 02:29:48,desktop,organic,138,4,0,0,0
S050695,C02283,2023-01-04 02:47:14,desktop,paid_search,127,2,0,0,0
S077077,C05560,2023-01-04 03:01:38,desktop,direct,258,4,0,0,1
S057361,C06027,2023-01-04 03:16:07,mobile,social,27,1,0,1,0
S039630,C08705,2023-01-04 03:16:16,desktop,paid_search,454,6,0,0,0
S071756,C03190,2023-01-04 03:16:26,mobile,referral,259,4,0,0,2
S029427,C01137,2023-01-04 03:27:59,desktop,paid_search,277,4,0,0,2
S075058,C04217,2023-01-04 04:00:43,tablet,email,10,1,0,1,1
S060335,C02510,2023-01-04 04:17:38,desktop,direct,379,11,0,0,1
S064834,C04032,2023-01-04 04:33:45,desktop,direct,230,4,0,0,0
S023780,C03425,2023-01-04 04:43:53,mobile,social,41,1,0,0,0
S050035,C02841,2023-01-04 05:23:31,tablet,paid_search,243,7,0,0,0
S025495,C07903,2023-01-04 05:28:37,desktop,organic,384,6,1,0,5
S071089,C08474,2023-01-04 05:29:00,mobile,direct,211,3,0,0,0
S015219,C06030,2023-01-04 05:49:13,mobile,organic,216,6,0,0,1
S024206,C03785,2023-01-04 05:57:12,tablet,organic,742,13,0,0,0
S039659,C06953,2023-01-04 06:08:32,mobile,organic,258,3,0,0,0
S016145,C04344,2023-01-04 06:13:59,mobile,direct,34,1,0,0,0
S035037,C01268,2023-01-04 06:47:14,desktop,paid_search,163,4,0,0,0
S016433,C01524,2023-01-04 07:14:22,desktop,direct,643,7,1,0,4
S035661,C08628,2023-01-04 07:20:10,desktop,organic,304,6,0,0,0
S051297,C03561,2023-01-04 07:45:04,desktop,direct,674,17,0,0,0
S037252,C07786,2023-01-04 07:59:10,desktop,direct,567,7,0,0,1
S012223,C00674,2023-01-04 08:06:04,mobile,organic,74,1,0,0,0
S027720,C05791,2023-01-04 08:13:21,tablet,social,1063,26,0,0,0
S071877,C05271,2023-01-04 08:30:02,mobile,direct,1384,17,0,0,2
S073919,C09414,2023-01-04 08:32:58,tablet,organic,152,4,0,0,2
S042276,C02836,2023-01-04 08:57:08,desktop,direct,1519,18,0,0,2
S019318,C01034,2023-01-04 09:00:48,mobile,organic,106,1,0,0,0
S015369,C00001,2023-01-04 09:18:50,desktop,direct,36,1,0,0,0
S042872,C01437,2023-01-04 09:39:44,mobile,direct,143,3,0,0,0
S065664,C05254,2023-01-04 09:47:28,mobile,social,252,4,0,0,0
S074049,C02829,2023-01-04 09:49:11,desktop,social,42,1,1,0,5
S007380,C04991,2023-01-04 09:58:13,mobile,paid_search,866,12,0,0,2
